영화코드,영화명,영화명_영어,영화명_원문,개봉연도,상영시간,장르,감독명,관람등급,배우1,배우2,배우3
20183288,헌터 킬러,HUNTER KILLER,,20181206,121,액션,도노반 마시,15세이상관람가,제라드 버틀러,게리 올드만,
20181905,후드,Robin Hood,,20181128,116,어드벤처,오토 바서스트,12세이상관람가,태런 에저튼,제이미 폭스,벤 멘델슨
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,20181114,133,판타지,데이빗 예이츠,12세이상관람가,에디 레드메인,캐서린 워터스턴,앨리슨 수돌
20182966,투 프렌즈,TWO TAILS,,20181129,74,애니메이션,빅터 아즈에프,전체관람가,,,
20183073,베일리 어게인,A Dog's Purpose,,20181122,100,어드벤처,라세 할스트롬,전체관람가,조시 게드,데니스 퀘이드,브릿 로버트슨
20181171,바울,"Paul, Apostle Of Christ",,20181031,107,드라마,앤드류 하얏트,15세이상관람가,제임스 폴크너,제임스 카비젤,
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,20181128,115,액션,페드 알바레즈,15세이상관람가,클레어 포이,실비아 획스,스베리르 구드나손
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,20181115,82,기타,박준수,전체관람가,김남준,김석진,민윤기
20183043,캡틴 샤키,Capt'n sharky,,20181122,77,애니메이션,허버트 베일란드,전체관람가,최정현,김경희,민아
20184514,꼬마비행기 피티와 친구들:사막구출 대작전,The adventures of Petey and Friends,,20181122,73,애니메이션,루카스 퀴아오,전체관람가,,,
20182935,출국,Unfinished,,20181114,104,드라마,노규엽,15세이상관람가,이범수,연우진,박혁권
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,20181115,109,애니메이션,우시지마 신이치로,12세이상관람가,타카스기 마히로,린,후지이 유키요
20170513,동네사람들,,,20181107,99,액션,임진순,15세이상관람가,마동석,김새론,이상엽
20183009,로빈슨의 언더워터 어드벤처,The Underwater Adventures of Sadko,,20181115,73,애니메이션,막심 볼코브,전체관람가,,,
20179006,여곡성,The Wrath,,20181108,94,공포(호러),유영선,15세이상관람가,홍예리,서영희,손나은
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,20011213,152,가족,크리스 콜럼버스,전체관람가,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트
20183063,박물관이 진짜 살아있다,Harvie and the Magic Museum,Hurvinek a kouzelne muzeum,20181108,86,애니메이션,마틴 코틱,전체관람가,,,
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,20181031,105,판타지,일라이 로스,전체관람가,잭 블랙,케이트 블란쳇,오웬 바카로
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,20181107,89,판타지,아리 산델,12세이상관람가,잭 블랙,켄 정,
20174981,창궐,Rampant,,20181025,121,사극,김성훈,15세이상관람가,현빈,장동건,조우진
